"model","n","p","config","K","ntree","ndpost","fit_time","pred_time","total_time","n_test","n_times"
"Survival",100,5,"Minimal",5,20,100,0.0926010608673096,0.0507819652557373,0.143383026123047,30,9
"Survival",100,5,"Default",8,50,200,0.188733100891113,0.0426478385925293,0.231380939483643,30,9
"Survival",100,5,"Enhanced",10,100,400,0.409196853637695,0.0739519596099854,0.483148813247681,30,9
"Survival",100,10,"Minimal",5,20,100,0.0738649368286133,0.0225698947906494,0.0964348316192627,30,9
"Survival",100,10,"Default",8,50,200,0.192949056625366,0.0416510105133057,0.234600067138672,30,9
"Survival",100,10,"Enhanced",10,100,400,0.402596950531006,0.0739679336547852,0.476564884185791,30,9
"Survival",100,20,"Minimal",5,20,100,0.0823180675506592,0.0225341320037842,0.104852199554443,30,9
"Survival",100,20,"Default",8,50,200,0.205698013305664,0.043766975402832,0.249464988708496,30,9
"Survival",100,20,"Enhanced",10,100,400,0.414006948471069,0.0740079879760742,0.488014936447144,30,9
"Survival",500,5,"Minimal",5,20,100,0.322260856628418,0.0424411296844482,0.364701986312866,150,9
"Survival",500,5,"Default",8,50,200,0.838146209716797,0.093580961227417,0.931727170944214,150,9
"Survival",500,5,"Enhanced",10,100,400,1.69632005691528,0.169632196426392,1.86595225334167,150,9
"Survival",500,10,"Minimal",5,20,100,0.289870977401733,0.0489709377288818,0.338841915130615,150,9
"Survival",500,10,"Default",8,50,200,0.845215797424316,0.0986380577087402,0.943853855133057,150,9
"Survival",500,10,"Enhanced",10,100,400,1.67194581031799,0.216699123382568,1.88864493370056,150,9
"Survival",500,20,"Minimal",5,20,100,0.311851978302002,0.052433967590332,0.364285945892334,150,9
"Survival",500,20,"Default",8,50,200,0.893654108047485,0.0963790416717529,0.990033149719238,150,9
"Survival",500,20,"Enhanced",10,100,400,1.74854397773743,0.177394151687622,1.92593812942505,150,9
"Survival",1000,5,"Minimal",5,20,100,0.604528903961182,0.0747830867767334,0.679311990737915,300,9
"Survival",1000,5,"Default",8,50,200,1.50266790390015,0.165990829467773,1.66865873336792,300,9
"Survival",1000,5,"Enhanced",10,100,400,3.17699503898621,0.302809953689575,3.47980499267578,300,9
"Survival",1000,10,"Minimal",5,20,100,0.603430986404419,0.0753309726715088,0.678761959075928,300,9
"Survival",1000,10,"Default",8,50,200,1.56964802742004,0.167280197143555,1.7369282245636,300,9
"Survival",1000,10,"Enhanced",10,100,400,3.13696503639221,0.305787086486816,3.44275212287903,300,9
"Survival",1000,20,"Minimal",5,20,100,0.698235988616943,0.0918939113616943,0.790129899978638,300,9
"Survival",1000,20,"Default",8,50,200,1.69755506515503,0.18091607093811,1.87847113609314,300,9
"Survival",1000,20,"Enhanced",10,100,400,3.34305381774902,0.368722915649414,3.71177673339844,300,9
"Competing Risks",100,5,"Minimal",8,50,500,1.69073605537415,0.234293937683105,1.92502999305725,30,9
"Competing Risks",100,5,"Default",10,100,1000,13.6670529842377,0.661056995391846,14.3281099796295,30,9
"Competing Risks",100,5,"Enhanced",15,150,2000,52.9325997829437,2.20138883590698,55.1339886188507,30,9
"Competing Risks",100,10,"Minimal",8,50,500,1.6963939666748,0.197772979736328,1.89416694641113,30,9
"Competing Risks",100,10,"Default",10,100,1000,14.1423149108887,0.670380115509033,14.8126950263977,30,9
"Competing Risks",100,10,"Enhanced",15,150,2000,54.2553548812866,2.19213390350342,56.44748878479,30,9
"Competing Risks",100,20,"Minimal",8,50,500,1.73168587684631,0.216209888458252,1.94789576530457,30,9
"Competing Risks",100,20,"Default",10,100,1000,14.0287578105927,0.661502122879028,14.6902599334717,30,9
"Competing Risks",100,20,"Enhanced",15,150,2000,54.4715461730957,2.24541115760803,56.7169573307037,30,9
"Competing Risks",500,5,"Minimal",8,50,500,6.76539087295532,0.451663970947266,7.21705484390259,150,9
"Competing Risks",500,5,"Default",10,100,1000,56.6862118244171,1.94494318962097,58.6311550140381,150,9
"Competing Risks",500,5,"Enhanced",15,150,2000,231.186123132706,6.69746994972229,237.883593082428,150,9
"Competing Risks",500,10,"Minimal",8,50,500,7.11074185371399,0.46157693862915,7.57231879234314,150,9
"Competing Risks",500,10,"Default",10,100,1000,58.6777081489563,1.65126490592957,60.3289730548859,150,9
"Competing Risks",500,10,"Enhanced",15,150,2000,236.310958147049,6.12773489952087,242.43869304657,150,9
"Competing Risks",500,20,"Minimal",8,50,500,7.08460187911987,0.459773063659668,7.54437494277954,150,9
"Competing Risks",500,20,"Default",10,100,1000,60.6791479587555,1.67591905593872,62.3550670146942,150,9
"Competing Risks",500,20,"Enhanced",15,150,2000,241.589764118195,6.2894139289856,247.87917804718,150,9
"Competing Risks",1000,5,"Minimal",8,50,500,12.7393548488617,0.739421844482422,13.4787766933441,300,9
"Competing Risks",1000,5,"Default",10,100,1000,107.729424953461,2.80627799034119,110.535702943802,300,9
"Competing Risks",1000,5,"Enhanced",15,150,2000,445.114106178284,15.7119779586792,460.826084136963,300,9
"Competing Risks",1000,10,"Minimal",8,50,500,12.6808152198792,0.740936040878296,13.4217512607574,300,9
"Competing Risks",1000,10,"Default",10,100,1000,108.557546854019,2.78684186935425,111.344388723373,300,9
"Competing Risks",1000,10,"Enhanced",15,150,2000,465.543798923492,16.4663100242615,482.010108947754,300,9
"Competing Risks",1000,20,"Minimal",8,50,500,13.6045808792114,0.778790950775146,14.3833718299866,300,9
"Competing Risks",1000,20,"Default",10,100,1000,116.146701812744,2.94602608680725,119.092727899551,300,9
"Competing Risks",1000,20,"Enhanced",15,150,2000,479.522720098495,16.363744020462,495.886464118958,300,9
