"model","n","config","mean_total_time","mean_fit_time","mean_pred_time"
"Competing Risks",100,"Default",14.610354979833,13.9460419019064,0.664313077926636
"Competing Risks",100,"Enhanced",56.0994782447815,53.8865002791087,2.21297796567281
"Competing Risks",100,"Minimal",1.92236423492432,1.70627196629842,0.216092268625895
"Competing Risks",500,"Default",60.4383983612061,58.681022644043,1.75737571716309
"Competing Risks",500,"Enhanced",242.733821392059,236.362281799317,6.37153959274292
"Competing Risks",500,"Minimal",7.44458285967509,6.98691153526306,0.457671324412028
"Competing Risks",1000,"Default",113.657606522242,110.811224540075,2.84638198216756
"Competing Risks",1000,"Enhanced",479.574219067892,463.393541733424,16.1806773344676
"Competing Risks",1000,"Minimal",13.7612999280294,13.0082503159841,0.753049612045288
"Survival",100,"Default",0.238481998443604,0.195793390274048,0.0426886081695557
"Survival",100,"Enhanced",0.482576211293539,0.408600250879923,0.0739759604136149
"Survival",100,"Minimal",0.114890019098918,0.0829280217488607,0.031961997350057
"Survival",500,"Default",0.955204725265503,0.859005371729533,0.09619935353597
"Survival",500,"Enhanced",1.89351177215576,1.7056032816569,0.187908490498861
"Survival",500,"Minimal",0.355943282445272,0.307994604110718,0.047948678334554
"Survival",1000,"Default",1.76135269800822,1.58995699882507,0.171395699183146
"Survival",1000,"Enhanced",3.54477794965108,3.21900463104248,0.325773318608602
"Survival",1000,"Minimal",0.716067949930827,0.635398626327515,0.0806693236033122
